,estado,estadoSigla,municipio,cnes,nomeCnes,dataNotificacaoOcupacao,ofertaRespiradores,ofertaHospCli,ofertaHospUti,ofertaSRAGCli,ofertaSRAGUti,ocupHospCli,ocupHospUti,ocupSRAGCli,ocupSRAGUti,altas,obitos,ocupacaoInformada,algumaOcupacaoInformada
2607,Acre,AC,Acrelândia,5701929,UNIDADE MISTA DE SAUDE DE ACRELANDIA,2020-05-26,0.0,16.0,0.0,4.0,0.0,0.0,0.0,3.0,0,0.0,0,True,True
1267,Acre,AC,Assis Brasil,2001020,UNIDADE MISTA DE ASSIS BRASIL,2020-06-11,0.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0,60.0,8,True,True
3721,Acre,AC,Cruzeiro do Sul,5336171,HOSPITAL REGIONAL DO JURUA,2021-01-05,6.0,98.0,8.0,43.0,10.0,51.0,3.0,19.0,3,5.0,0,True,True
2756,Acre,AC,Cruzeiro do Sul,2000172,SESACRE HOSPITAL DE DERMATOLOGIA SANITARIA,2020-09-15,0.0,36.0,0.0,0.0,0.0,20.0,0.0,0.0,0,1.0,0,True,True
536,Acre,AC,Rio Branco,2001578,HOSPITAL GERAL DE CLINICAS DE RIO BRANCO,2021-01-05,46.0,221.0,18.0,97.0,40.0,130.0,7.0,93.0,32,4.0,2,True,True
2725,Acre,AC,Rio Branco,2002078,HOSPITAL SANTA JULIANA,2020-09-04,15.0,137.0,6.0,0.0,0.0,65.0,7.0,4.0,5,0.0,0,True,True
203,Acre,AC,Rio Branco,6497314,SANTA CASA,2020-09-09,1.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
2608,Acre,AC,Rio Branco,6439837,UPA 24 HORAS DO 2 DISTRITO,2020-07-31,2.0,56.0,0.0,56.0,0.0,0.0,0.0,17.0,0,10.0,0,True,True
1500,Alagoas,AL,Arapiraca,0193283,HOSPITAL DE CAMPANHA COVID 19 DR JOSE FERNANDES DE LIMA,2020-09-30,0.0,20.0,0.0,35.0,0.0,25.0,0.0,8.0,0,3.0,0,True,True
2865,Alagoas,AL,Arapiraca,2005050,HOSPITAL REGIONAL DE ARAPIRACA,2020-12-07,19.0,139.0,7.0,18.0,10.0,0.0,7.0,0.0,1,0.0,0,True,True
731,Alagoas,AL,Arapiraca,3015408,UNIDADE DE EMERGENCIA DR DANIEL HOULY,2021-01-06,16.0,152.0,16.0,50.0,22.0,50.0,27.0,27.0,20,1.0,0,True,True
1431,Alagoas,AL,Campo Alegre,2722410,UNIDADE MISTA SENADOR ARNON DE MELO,2020-08-26,0.0,77.0,0.0,60.0,0.0,60.0,0.0,2.0,0,1.0,0,True,True
1268,Alagoas,AL,Coruripe,2010356,CARVALHO BELTRAO SERVICOS DE SAUDE LTDA,2020-07-28,38.0,271.0,19.0,15.0,16.0,117.0,15.0,6.0,4,0.0,0,True,True
3024,Alagoas,AL,Maceió,9923837,HOSPITAL DA MULHER DRA NISE DA SILVEIRA,2021-01-04,28.0,105.0,0.0,50.0,55.0,41.0,29.0,41.0,29,6.0,5,True,True
2868,Alagoas,AL,Maceió,2006510,HOSPITAL GERAL DO ESTADO DR OSVALDO BRANSAO VILELA,2020-11-30,86.0,251.0,36.0,0.0,0.0,322.0,72.0,6.0,9,1.0,3,True,True
1329,Alagoas,AL,Maceió,7471955,HOSPITAL MEDICO CIRURGICO,2020-06-26,3.0,82.0,0.0,22.0,0.0,22.0,0.0,4.0,0,3.0,1,True,True
1975,Alagoas,AL,Maceió,0136581,HOSPITAL METROPOLITANO DE ALAGOAS,2021-01-05,0.0,131.0,0.0,130.0,30.0,49.0,24.0,47.0,24,5.0,1,True,True
1483,Alagoas,AL,Maceió,2006359,HOSPITAL SANATORIO,2020-09-07,6.0,168.0,6.0,22.0,10.0,45.0,4.0,0.0,0,0.0,0,True,True
1692,Alagoas,AL,Maceió,2006197,HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,2021-01-04,13.0,189.0,20.0,12.0,14.0,28.0,7.0,3.0,10,0.0,0,True,True
1946,Alagoas,AL,Maceió,2006448,HOSPITAL VEREDAS,2021-01-06,27.0,256.0,23.0,60.0,30.0,46.0,10.0,0.0,0,0.0,0,True,True
